Code 2019 Only,Questions in 2019,Changes from 2016-2019 and Additional Notes,Code 2016 Only,Questions in 2016,Code 2012 Only,Questions in 2012,Code 2010 Only,Questions in 2010,Changes from 2010-2012,Code 2007 Only,Questions in 2007,Changes from 2007-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FEXPDAT21,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - DHS - FY14",FEXPDAT21,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - DHS - FY10",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXPDAT22,"For fiscal year 2018, please report actual expenditures (to the nearest dollar amount) for the state health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - DHS - FY18",,FEXPDAT22,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - DHS - FY15",FEXPDAT22,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - DHS - FY11",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FEXPDAT23,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - EPA - FY14",FEXPDAT23,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - EPA - FY10",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXPDAT24,"For fiscal year 2018, please report actual expenditures (to the nearest dollar amount) for the state health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - EPA - FY18",,FEXPDAT24,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - EPA - FY15",FEXPDAT24,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - EPA - FY11",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FEXPDAT25,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - Other- FY14",FEXPDAT25,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - Federal Indirect- FY10",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXPDAT26,"For fiscal year 2018, please report actual expenditures (to the nearest dollar amount) for the state health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - Other - FY18",,FEXPDAT26,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - Other - FY15",FEXPDAT26,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - Federal Indirect- FY11",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXPDAT001,"For fiscal year 2018, please report actual expenditures (to the nearest dollar amount) for the state health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - I do not have data on expenditures for this category - FY18",Added to survey in 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FEXPLAB11,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Laboratory - Federal Funds - CDC- FY14",FEXPLAB11,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Laboratory - Federal Funds - CDC- FY10",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXPLAB12,"For fiscal year 2018, please report actual expenditures (to the nearest dollar amount) for the state health agency for each source of federal funds listed in the chart below. Health Laboratory - Federal Funds - CDC - FY18",,FEXPLAB12,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Laboratory - Federal Funds - CDC - FY15",FEXPLAB12,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Laboratory - Federal Funds - CDC - FY11",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FEXPLAB27,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Laboratory - Federal Funds - DHHS - FY14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXPLAB28,"For fiscal year 2018, please report actual expenditures (to the nearest dollar amount) for the state health agency for each source of federal funds listed in the chart below. Health Laboratory - Federal Funds - DHHS - FY18",,FEXPLAB28,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Laboratory - Federal Funds - DHHS - FY15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FEXPLAB13,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Laboratory - Federal Funds - HRSA - FY14",FEXPLAB13,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Laboratory - Federal Funds - HRSA - FY10",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXPLAB14,"For fiscal year 2018, please report actual expenditures (to the nearest dollar amount) for the state health agency for each source of federal funds listed in the chart below. Health Laboratory - Federal Funds - HRSA - FY18",,FEXPLAB14,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Laboratory - Federal Funds - HRSA - FY15",FEXPLAB14,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Laboratory - Federal Funds - HRSA - FY11",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FEXPLAB15,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Laboratory - Federal Funds - Medicaid - FY14",FEXPLAB15,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Laboratory - Federal Funds - Medicaid - FY10",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXPLAB16,"For fiscal year 2018, please report actual expenditures (to the nearest dollar amount) for the state health agency for each source of federal funds listed in the chart below. Health Laboratory - Federal Funds - Medicaid - FY18",,FEXPLAB16,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Laboratory - Federal Funds - Medicaid - FY15",FEXPLAB16,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Laboratory - Federal Funds - Medicaid - FY11",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FEXPLAB17,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Laboratory - Federal Funds - Medicare - FY14",FEXPLAB17,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Laboratory - Federal Funds - Medicare - FY10",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXPLAB18,"For fiscal year 2018, please report actual expenditures (to the nearest dollar amount) for the state health agency for each source of federal funds listed in the chart below. Health Laboratory - Federal Funds - Medicare - FY18",,FEXPLAB18,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Laboratory - Federal Funds - Medicare - FY15",FEXPLAB18,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Laboratory - Federal Funds - Medicare - FY11",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FEXPLAB19,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Laboratory - Federal Funds - USDA - FY14",FEXPLAB19,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Laboratory - Federal Funds - USDA - FY10",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
